iter	Passed	Remaining
416	2856	7419
417	2863	7411
418	2871	7407
419	2878	7402
420	2887	7399
421	2894	7393
422	2901	7386
423	2908	7380
424	2914	7372
425	2920	7363
426	2929	7361
427	2936	7354
428	2942	7346
429	2950	7340
430	2958	7339
431	2967	7336
432	2978	7339
433	2985	7332
434	2993	7329
435	3000	7322
436	3007	7314
437	3013	7306
438	3020	7300
439	3027	7293
440	3034	7287
441	3040	7278
442	3049	7277
443	3059	7275
444	3071	7282
445	3115	7363
446	3129	7371
447	3139	7372
448	3153	7380
449	3162	7378
450	3170	7373
451	3177	7367
452	3184	7361
453	3192	7354
454	3199	7348
455	3206	7341
456	3214	7336
457	3221	7328
458	3230	7326
459	3243	7334
460	3250	7325
461	3257	7318
462	3266	7315
463	3272	7307
464	3279	7298
465	3285	7290
466	3292	7282
467	3298	7273
468	3304	7264
469	3311	7257
470	3318	7249
471	3324	7240
472	3331	7233
473	3338	7225
474	3344	7216
475	3350	7208
476	3357	7201
477	3363	7191
478	3369	7182
479	3376	7174
480	3382	7165
481	3388	7157
482	3395	7148
483	3401	7140
484	3409	7135
485	3416	7127
486	3424	7122
487	3432	7118
488	3441	7115
489	3450	7112
490	3459	7108
491	3467	7104
492	3473	7095
493	3484	7095
494	3492	7091
495	3500	7086
496	3507	7078
497	3514	7070
498	3520	7063
499	3530	7061
500	3540	7059
501	3549	7057
502	3561	7058
503	3569	7054
504	3577	7049
505	3591	7054
506	3605	7062
507	3614	7058
508	3625	7058
509	3634	7055
510	3642	7049
511	3651	7045
512	3659	7040
513	3666	7033
514	3674	7027
515	3683	7023
516	3694	7024
517	3702	7018
518	3712	7017
519	3723	7016
520	3731	7011
521	3741	7010
522	3752	7010
523	3764	7010
524	3773	7007
525	3784	7007
526	3793	7003
527	3803	7001
528	3812	6998
529	3821	6994
530	3830	6990
531	3840	6987
532	3847	6981
533	3855	6974
534	3862	6966
535	3870	6962
536	3878	6955
537	3886	6949
538	3895	6945
539	3904	6941
540	3913	6937
541	3925	6937
542	3935	6935
543	3948	6938
544	3956	6933
545	3965	6928
546	3974	6923
547	3983	6920
548	3991	6914
549	3998	6905
550	4004	6897
551	4011	6888
552	4017	6880
553	4025	6873
554	4032	6865
555	4042	6864
556	4051	6858
557	4060	6854
558	4069	6850
559	4078	6846
560	4088	6842
561	4096	6836
562	4107	6836
563	4123	6843
564	4130	6836
565	4137	6827
566	4144	6819
567	4150	6810
568	4157	6802
569	4164	6795
570	4171	6786
571	4179	6780
572	4186	6772
573	4192	6763
574	4198	6754
575	4206	6747
576	4212	6738
577	4218	6729
578	4225	6721
579	4232	6713
580	4239	6705
581	4245	6696
582	4252	6688
583	4258	6679
584	4265	6671
585	4273	6665
586	4281	6659
587	4288	6650
588	4297	6646
589	4305	6640
590	4312	6633
591	4319	6625
592	4326	6617
593	4333	6609
594	4339	6600
595	4346	6592
596	4353	6584
597	4359	6575
598	4366	6567
599	4372	6559
600	4379	6550
601	4385	6542
602	4392	6534
603	4398	6525
604	4406	6518
605	4412	6510
606	4421	6504
607	4427	6495
608	4434	6487
609	4443	6482
610	4449	6473
611	4456	6465
612	4462	6457
613	4471	6452
614	4480	6447
615	4488	6440
616	4494	6432
617	4501	6424
618	4507	6415
619	4515	6408
620	4522	6400
621	4528	6392
622	4535	6384
623	4541	6375
624	4548	6368
625	4555	6359
626	4561	6351
627	4568	6343
628	4575	6335
629	4582	6327
630	4589	6320
631	4596	6312
632	4602	6304
633	4609	6296
634	4615	6287
635	4622	6279
636	4628	6270
637	4637	6265
638	4645	6260
639	4655	6256
640	4662	6248
641	4669	6240
642	4676	6233
643	4683	6224
644	4689	6216
645	4696	6208
646	4703	6200
647	4710	6192
648	4716	6185
649	4723	6176
650	4729	6167
651	4736	6160
652	4743	6152
653	4750	6145
654	4756	6136
655	4763	6128
656	4770	6120
657	4776	6112
658	4783	6104
659	4789	6096
660	4796	6088
661	4803	6080
662	4811	6074
663	4820	6069
664	4829	6063
665	4836	6055
666	4842	6047
667	4850	6041
668	4858	6035
669	4865	6027
670	4872	6019
671	4879	6011
672	4885	6003
673	4892	5995
674	4899	5988
675	4905	5980
676	4912	5972
677	4919	5964
678	4926	5956
679	4933	5948
680	4940	5941
681	4947	5933
682	4953	5925
683	4960	5917
684	4966	5909
685	4973	5901
686	4979	5893
687	4986	5884
688	4995	5879
689	5003	5873
690	5017	5874
691	5024	5866
692	5030	5858
693	5037	5850
694	5043	5842
695	5050	5833
696	5056	5825
697	5063	5818
698	5071	5811
699	5078	5803
700	5084	5795
701	5091	5787
702	5097	5779
703	5104	5771
704	5110	5762
705	5117	5755
706	5123	5747
707	5130	5739
708	5137	5731
709	5143	5723
710	5149	5714
711	5159	5710
712	5172	5709
713	5183	5705
714	5191	5699
715	5198	5691
716	5208	5687
717	5217	5682
718	5225	5676
719	5232	5668
720	5239	5660
721	5245	5652
722	5251	5644
723	5258	5636
724	5266	5629
725	5274	5623
726	5282	5616
727	5289	5608
728	5295	5600
729	5302	5592
730	5308	5584
731	5314	5576
732	5322	5569
733	5329	5562
734	5336	5554
735	5348	5551
736	5359	5548
737	5367	5541
738	5373	5533
739	5380	5526
740	5387	5518
741	5394	5510
742	5400	5502
743	5406	5493
744	5413	5485
745	5419	5477
746	5425	5469
747	5433	5462
748	5441	5455
749	5448	5448
750	5456	5442
751	5468	5439
752	5475	5432
753	5483	5425
754	5489	5417
755	5495	5408
756	5505	5403
757	5516	5400
758	5527	5396
759	5538	5392
760	5545	5384
761	5551	5376
762	5559	5370
763	5572	5368
764	5583	5364
765	5592	5358
766	5599	5351
767	5608	5345
768	5614	5337
769	5621	5329
770	5627	5321
771	5634	5313
772	5641	5306
773	5648	5298
774	5655	5290
775	5661	5282
776	5668	5274
777	5675	5267
778	5682	5259
779	5690	5252
780	5700	5248
781	5710	5242
782	5717	5235
783	5724	5228
784	5732	5221
785	5739	5214
786	5747	5207
787	5755	5200
788	5762	5193
789	5770	5185
790	5776	5177
791	5782	5169
792	5789	5161
793	5798	5155
794	5805	5148
795	5812	5140
796	5819	5133
797	5826	5125
798	5833	5118
799	5840	5110
800	5847	5103
801	5854	5095
802	5862	5088
803	5871	5083
804	5880	5076
805	5888	5070
806	5895	5062
807	5901	5054
808	5907	5046
809	5914	5038
810	5922	5031
811	5929	5024
812	5941	5020
813	5950	5014
814	5957	5007
815	5965	5000
816	5971	4992
817	5979	4985
818	5988	4979
819	5995	4972
820	6004	4965
821	6012	4959
822	6020	4952
823	6028	4945
824	6035	4938
825	6043	4931
826	6052	4925
827	6062	4920
828	6076	4918
829	6084	4911
830	6091	4904
831	6100	4898
832	6108	4891
833	6116	4884
834	6123	4877
835	6131	4870
